sampling_date,plant_id,Peletizadora,sampling_hash,product_name,product_code,Turno,batch,Durabilidad,fines,Presión,Carga,Temp Acondicionamiento,Temp Enfriamiento,Hum Acondicionamiento,Hum Enfriamiento,Temp Ambiente,Hum Ambiente,observations,Matriz Dado,time,mixing_humidity,product_humidity,product_temperature,sampled_by,type_1,retention_time,type_2,efficiency,quantity,company_name,source_file,Delta Temp,Eficiencia Acondicionador,delta_temp_group,"product_code,Producto",Estructura Dieta,Amp
2024-10-23,18,1,b4868548a3da89f5400cff9338518dac,prelevante,610-596,1,1349.0,99.8,0.2,18.0,40.0,75.0,29.9,14.31,12.53,30.2,54.0,amp 115,mt 04,11:40:00,,,,,,,,,,Cervalle,SEGUIMIENTO PROCESO PELETIZADO.xlsm,-0.3,5.2,<0,"610-596,prelevante",Levante,115.0
2024-10-23,18,1,b4868548a3da89f5400cff9338518dac,prelevante,610-596,1,1349.0,99.8,0.2,18.0,40.0,75.0,29.9,14.31,12.53,30.2,54.0,amp 115,mt 04,11:40:00,,,,,,,,,,Cervalle,SEGUIMIENTO PROCESO PELETIZADO.xlsm,-0.3,5.2,<0,"610-596,levante",Levante,115.0
2024-10-23,18,1,e599147b066a187d5afb8e1067a8948d,ceba finalizacion,703-298,3,1350.0,99.6,0.4,18.0,40.0,76.3,30.3,13.58,12.7,30.2,49.0,amp 117.6,mt 04,20:00:00,,,,,,,,,,Cervalle,SEGUIMIENTO PROCESO PELETIZADO.xlsm,0.1,5.6,0-1,"703-298,ceba finalizacion",Finalizadores,117.6
2024-10-23,18,2,3bc2b5745675f79915bc785aef26af46,ceba finalizacion,703-298,2,1350.0,98.7,1.3,20.0,76.0,82.0,27.6,14.47,11.14,29.0,33.0,amp 109.6-125.6,mt 07,20:00:00,,,,,,,,,,Cervalle,SEGUIMIENTO PROCESO PELETIZADO.xlsm,-1.4,5.7,<0,"703-298,ceba finalizacion",Finalizadores,109.6
2024-10-23,18,1,f782233cbd2a22b7e51f95e3e9be836b,ceba finalizacion,703-298,2,1350.0,99.7,0.3,18.0,40.0,76.0,31.4,13.91,12.26,33.2,45.0,amp 122.6,mt 04,19:30:00,,,,,,,,,,Cervalle,SEGUIMIENTO PROCESO PELETIZADO.xlsm,-1.8,5.5,<0,"703-298,ceba finalizacion",Finalizadores,122.6
2024-10-23,18,2,be4a55d9e5faa9fc15adf5725562f421,ceba 1,703-177,3,1351.0,97.1,2.9,19.0,77.0,84.0,29.3,13.61,11.49,26.7,60.0,amp 127,mt 07,02:00:00,,,,,,,,,,Cervalle,SEGUIMIENTO PROCESO PELETIZADO.xlsm,2.6,6.2,2-3,"703-177,ceba 1",Finalizadores,127.0
2024-10-23,18,1,d8787aa159e9f261e3bbb544366c8b91,ceba 1,703-177,3,1351.0,99.8,0.2,18.0,40.0,78.5,29.5,13.67,11.81,30.1,50.0,amp 108.5,mt 04,12:30:00,,,,,,,,,,Cervalle,SEGUIMIENTO PROCESO PELETIZADO.xlsm,-0.6,5.7,<0,"703-177,ceba 1",Finalizadores,108.5
2024-10-23,18,2,7b0edcc6c91a9bd26f43aea4d6e9557a,ceba 2,703-167,3,1353.0,98.8,1.2,19.0,78.0,81.0,28.1,13.79,11.48,26.2,52.0,amp 126,mt 07,04:00:00,,,,,,,,,,Cervalle,SEGUIMIENTO PROCESO PELETIZADO.xlsm,1.9,5.9,1-2,"703-167,ceba 2",Finalizadores,126.0
2024-10-23,18,1,af7ee460e78dcbca51bf4ae4944f8285,ceba 2,703-167,3,1353.0,99.5,0.5,20.0,40.0,78.3,28.8,14.3,12.05,29.0,52.0,amp 119.8,mt 04,03:00:00,,,,,,,,,,Cervalle,SEGUIMIENTO PROCESO PELETIZADO.xlsm,-0.2,5.5,<0,"703-167,ceba 2",Finalizadores,119.8
2024-10-24,18,2,78bf58ddbdf12b6e964a69ac3250c485,levante,601-562,1,1353.0,96.1,3.9,18.0,78.0,81.0,29.0,13.93,11.49,25.8,65.0,amp 114-123,mt 07,07:00:00,,,,,,,,,,Cervalle,SEGUIMIENTO PROCESO PELETIZADO.xlsm,3.2,5.8,3-4,"601-562,levante",Levante,114.0
2024-10-24,18,1,81c2e1c23e43c2490202afcb23c55a3f,levante,601-562,1,1353.0,99.7,0.3,18.0,40.0,75.0,29.1,14.16,12.35,28.9,56.0,amp 110,mt 04,07:00:00,,,,,,,,,,Cervalle,SEGUIMIENTO PROCESO PELETIZADO.xlsm,0.2,5.3,0-1,"601-562,levante",Levante,110.0
2024-10-24,18,2,1b858b375c698f5945a952bd54f547e0,levante,601-562,1,1354.0,94.3,5.7,14.0,78.0,81.0,31.4,13.37,11.31,27.1,65.0,amp 112-126,mt 07,10:50:00,,,,,,,,,,Cervalle,SEGUIMIENTO PROCESO PELETIZADO.xlsm,4.3,6.1,4-5,"601-562,levante",Levante,112.0
2024-10-24,18,1,7c7eb1ff5b0e8af9409bc7d9e9e7f04c,levante,601-562,1,1354.0,99.5,0.5,18.0,40.0,76.0,31.0,13.6,11.94,30.9,54.0,amp 109,mt 04,10:00:00,,,,,,,,,,Cervalle,SEGUIMIENTO PROCESO PELETIZADO.xlsm,0.1,5.6,0-1,"601-562,levante",Levante,109.0
